X	Y	elevation
-654372.864285529	-992879.274085332	163
-656289.765496202	-991107.133019391	218
-658989.698552214	-991125.562011853	209
-654866.554393154	-993472.952423368	160
-661651.883305959	-990524.379964676	175
-656037.996106755	-987480.036653526	138
-657654.148246083	-994704.715939712	163
-655831.188402306	-994405.983584628	188
-660715.157545466	-992969.267432578	171
-658123.95906949	-994468.687495939	203
-653820.819635298	-989084.023581252	211
-655885.382986743	-993155.369493794	172
-656241.501980871	-993043.55975863	159
-654013.433191665	-988308.13471837	198
-656370.206979558	-987712.810139529	152
-656672.504100319	-988729.00367894	163
-659548.39656717	-993374.547122411	188
-659264.035597228	-994797.400741857	182
-659529.74630674	-994348.411421526	154
-658162.082663935	-988904.201775063	199
-661122.143995702	-994852.492337886	181
-655693.700879898	-990510.508544095	165
-656624.574702684	-989612.140470859	172
-660765.983886536	-991503.977676887	199
-656397.273798339	-988594.795398626	137
-655962.61172783	-987454.921570674	84
-654531.897164062	-988362.731158257	156
-653173.088177416	-993140.471423842	116
-657996.549303215	-994017.141237885	180
-659332.599367589	-990424.868176702	154
-661032.667090125	-988970.144040577	168
-660899.369609524	-988895.278588697	175
-659662.089748669	-994135.894112106	180
-652535.463519804	-992726.434127923	129
-653939.36646691	-987389.032281674	195
-655520.628402971	-989602.308864236	215
-659838.338387407	-987838.867304467	167
-660669.237102233	-994372.145318236	177
-653119.040483024	-991901.278521806	140
-657437.409080915	-987575.034940224	172
-659967.585492656	-993093.506057564	180
-652987.016266719	-992061.21224422	154
-653338.535989191	-991115.07192038	148
-655333.605587497	-989879.142928619	70
-652673.28504758	-987297.291910615	38
-653449.401820425	-993374.114572924	166
-652460.216569766	-993925.06069997	163
-655519.850580372	-987781.346425608	228
-658392.679888427	-990606.083588544	141
-653816.720227592	-992435.243995357	171
-660099.805256955	-989348.143465683	211
-659921.415875047	-993538.768683232	205
-655722.351026986	-994450.308317751	191
-652854.014684826	-994030.908974949	170
-653309.693355329	-991027.83137982	145
-654875.415471267	-993606.968126033	159
-658189.161128558	-987233.73331923	185
-660751.831164002	-993332.877044585	183
-656560.391582329	-989177.419045229	62
-652633.67995549	-993424.187562305	147
-656242.956077307	-990401.636592411	210
-656526.889516149	-993967.786758572	163
-660887.824507833	-991341.230075639	205
-655859.122103117	-988134.922323592	141
-652718.366743352	-992336.694403671	166
-657173.834172584	-990006.164717101	139
-653248.335378516	-991404.041313145	132
-660319.397891849	-993814.133438185	193
-658448.511132445	-990185.92867792	205
-653888.975091953	-988441.848581113	206
-657744.465114791	-989468.570807829	145
-658642.472961776	-987520.528807074	151
-654797.344333488	-990474.391975775	225
-659058.456436865	-988075.200338073	184
-653002.299953144	-988153.773862533	124
-653861.354802661	-992251.572952256	196
-659641.732255459	-989144.201854579	194
-655642.51259708	-991766.603782162	100
-657624.429608185	-990756.453315314	184
-654182.745095935	-990467.240863759	208
-658890.944584161	-987186.147658814	167
-655727.500884131	-989430.101642836	203
-652900.092076063	-988758.559570942	206
-652615.48943283	-991064.516567238	160
-659064.046750501	-991540.726801101	229
-657617.347681668	-993750.929143358	181
-654829.301534802	-989767.920549374	221
